id,name,lat,lon,operator
4522659390,Rudreshwor Chowk,27.7715023,85.3587987,
4522706689,Unknown Stop,27.7675558,85.3556552,
4539565993,Unknown Stop,27.7129607,85.2897532,
4557994889,Bustop,27.7382626,85.3622358,
4561899390,Unknown Stop,27.6734413,85.342163,
4561910892,Unknown Stop,27.6708982,85.33973,
4563700497,Unknown Stop,27.6503981,85.3828295,
4564492989,Unknown Stop,27.6875508,85.3803031,
4567394790,Unknown Stop,27.757006,85.3494245,
4585338298,Sarus Beauty Parlour And Cosmetic Training Center,27.6783042,85.3389673,
4591191990,Unknown Stop,27.7320817,85.3623666,
4607638798,Unknown Stop,27.7366406,85.3019049,
4615652290,Unknown Stop,27.6986119,85.345524,Gh
4663104190,Unknown Stop,27.7780861,85.3610409,
4671940789,Unknown Stop,27.7276946,85.3171184,
4677489699,Unknown Stop,27.6578462,85.3225256,
4681232493,Unknown Stop,27.7369179,85.4457979,
4689758517,Unknown Stop,27.7353426,85.3552067,
4731419521,Unknown Stop,27.7129627,85.3054371,
4744832122,Unknown Stop,27.6868986,85.2512353,
4744929622,Unknown Stop,27.6832391,85.2485778,
4746324222,Unknown Stop,27.6830816,85.2476195,
4747204424,Unknown Stop,27.680772,85.2432277,Subway To Gurjudhara
4766617731,Unknown Stop,27.6761959,85.3158001,
4784205922,Chuchepati,27.7191615,85.3502938,
4803483428,Pepsicola Chowk,27.6891853,85.3603656,
4803502724,"Khahare Chowk, Pepsicola",27.6967912,85.3663548,
4807883223,Unknown Stop,27.6887343,85.3789196,
4808763721,Unknown Stop,27.6827881,85.3021862,
4821801221,Unknown Stop,27.6903575,85.3177572,
4822982221,Unknown Stop,27.6771335,85.2398359,
4824360524,Unknown Stop,27.7134011,85.3187487,
4834526521,Unknown Stop,27.7192324,85.318208,
4851758928,Kamalpokhari Bus Stop,27.7099805,85.3260604,
4903081921,Unknown Stop,27.693971,85.3193479,
4903082021,Unknown Stop,27.6900842,85.3175552,
4903082022,Krishnagalli Bus Stop,27.6810897,85.3176495,
4903082023,Unknown Stop,27.6807853,85.317403,
4916056821,Unknown Stop,27.6883306,85.3348522,
4920024521,Unknown Stop,27.7349479,85.34229,
4934957627,Unknown Stop,27.7671617,85.2971629,Bus Station
4934957628,Unknown Stop,27.7724302,85.2879278,Micro Bus  Stop
4940227523,Unknown Stop,27.7087545,85.3146285,
4954663823,Unknown Stop,27.7393598,85.3533177,
5081406121,"Pingalsthan, Gaushala",27.7069046,85.3447142,
5086421321,Unknown Stop,27.7335948,85.3476608,
5104363922,Unknown Stop,27.7162615,85.3966269,
5109126723,Unknown Stop,27.7213881,85.2799852,
5164329522,Unknown Stop,27.7328291,85.3811137,
5169208223,Unknown Stop,27.7215186,85.3716256,
5172870222,Unknown Stop,27.7218394,85.3726548,
5181221232,Dhumbaharai Chock,27.731947,85.3442753,
5183486523,Unknown Stop,27.6754504,85.35107,
5185321923,Unknown Stop,27.6747008,85.3977182,
5204346222,Unknown Stop,27.6732928,85.342101,नेपाल यातायात
5250404524,Unknown Stop,27.7490176,85.4331665,Sankh Samiti
5275131022,Unknown Stop,27.6800708,85.3985322,
5285665821,Unknown Stop,27.6744942,85.3975075,
5285665822,"Pizza Hut, Thimi Branch",27.6746309,85.3978154,
5285665921,Unknown Stop,27.6747765,85.39773,
5300595236,Unknown Stop,27.6739274,85.3141864,
5343032833,Unknown Stop,27.7923896,85.244154,
5362570123,Unknown Stop,27.7072377,85.2825515,
5367652205,Baneshwar Bus Station,27.6899702,85.3357427,
5463896524,Unknown Stop,27.7798966,85.3039852,
5463914623,Unknown Stop,27.7724404,85.306813,
5463914624,Unknown Stop,27.7627312,85.3032224,
5463917122,Unknown Stop,27.7680456,85.3048436,
5463917222,Unknown Stop,27.7828651,85.3011696,
5528676227,Unknown Stop,27.7204885,85.3461547,
5529727021,Bustop,27.7298338,85.3551144,
5532464421,Unknown Stop,27.6828969,85.3858055,
5538962121,Unknown Stop,27.6968249,85.3058547,
5619165231,महङ्काल,27.7255766,85.3560936,Suman
5720133821,Unknown Stop,27.7064893,85.314516,
5760423284,Unknown Stop,27.6176749,85.3195754,
5760427451,Unknown Stop,27.6153601,85.3192386,
5763196953,Unknown Stop,27.6156678,85.3191974,
5769382753,Unknown Stop,27.7941259,85.4219159,
5784633469,Balaju Chowk Bus Stop,27.7260406,85.304997,
5821878253,Kalanki Long Distance Bus-Stop,27.6929997,85.2807811,
5864596986,Unknown Stop,27.7185446,85.3082196,
5899752385,Unknown Stop,27.6829661,85.2473277,
5907660838,Mahanagar And Sajha Yatayat;Local Bus Stand,27.7087535,85.331293,
6052881691,Unknown Stop,27.6990751,85.2814445,
6053557887,Unknown Stop,27.7002299,85.2817551,
6100126497,Greenline Bus Stop,27.7169528,85.3048394,
6119569890,Unknown Stop,27.6990324,85.2814676,
6167683585,Unknown Stop,27.6490356,85.3115738,
6210447185,Unknown Stop,27.7608491,85.3519611,
6292460185,Unknown Stop,27.7403141,85.3877422,
6296924386,Unknown Stop,27.6501325,85.4366015,
6300552585,Unknown Stop,27.7497419,85.4297564,
6358111386,Unknown Stop,27.7338272,85.3627016,
6379886785,Unknown Stop,27.7440965,85.3003106,
6440259386,Unknown Stop,27.6920051,85.2823352,
6464288786,Unknown Stop,27.6974103,85.3706002,
6482645186,Unknown Stop,27.7191973,85.3125262,
6497936367,Bus To  Bhaktapur (50 Rs),27.7163093,85.4310491,
6585014732,Shahenshah Micro Bus Stop,27.7407558,85.3269269,
6749192585,Unknown Stop,27.6935287,85.2195419,Thankot Samiti
6945144593,Unknown Stop,27.7178762,85.3067864,
6955722197,Laxmi Narayan Chowk,27.6957791,85.4235139,
7005527686,Unknown Stop,27.6246612,85.3553416,स्थानिय बसिन्दा
7076752192,Unknown Stop,27.6621751,85.3171035,
7123788493,Unknown Stop,27.7627674,85.3305808,
7274254586,Unknown Stop,27.6893207,85.2843216,
7285256585,Unknown Stop,27.6875847,85.3975115,
7285256685,Unknown Stop,27.6835043,85.3960973,
7285292985,Unknown Stop,27.6855374,85.397092,
7285292986,Unknown Stop,27.688661,85.3954387,
7285293085,Unknown Stop,27.6919687,85.394134,
7285293086,Unknown Stop,27.6885962,85.3980538,
7658767485,Unknown Stop,27.7449232,85.307553,
7658767786,Unknown Stop,27.7537391,85.3164571,
7811580385,Dhapakhel Bus Park,27.622093,85.3251179,Public Bus Park
7814361785,Unknown Stop,27.650134,85.4365921,
7814383685,Unknown Stop,27.6500107,85.4388929,
8209853673,Mulpani Pipalbot,27.7047173,85.3936882,
8210179497,Unknown Stop,27.6965361,85.3797897,
8276589918,Unknown Stop,27.7474212,85.3957345,
9412182417,New Plaza Stop,27.7007581,85.3233339,
9524374618,Unknown Stop,27.7286529,85.3249144,
9611991101,Bhujungey Bus Stop,27.6368959,85.3882326,
9612975124,Babita'S Home,27.66546,85.2547533,
9642624139,Lausi Ko Bota,27.6516767,85.2861636,
9722253665,Jay Shree Ganesh Dhuwani Sewa,27.6677106,85.2677384,
9801832406,Unknown Stop,27.6696067,85.2875627,
9925905717,खरिबोट,27.6649919,85.3591851,
9925905817,मोति चोक,27.6650126,85.357364,
10065424117,Unknown Stop,27.6735651,85.3868284,
10228706017,Unknown Stop,27.7033527,85.3139181,
10248856809,मिलन चौक,27.6547248,85.3755793,
10277746691,थानकोट बस पार्क,27.6963323,85.2145904,
10294774674,Force Park,27.7011746,85.3789302,
10611337606,Maan Taar,27.705997,85.3707193,
10611337613,Unknown Stop,27.7038032,85.3835999,
10611337915,Unknown Stop,27.7069627,85.3788303,
10611337916,Unknown Stop,27.7076182,85.3830911,
10611340506,Pipal Bot,27.7068615,85.3801421,
10614017211,Unknown Stop,27.6992948,85.3829791,
10614866510,Unknown Stop,27.7068973,85.3772254,
10614867805,Unknown Stop,27.7107389,85.3738112,
10614867905,Unknown Stop,27.7098804,85.3717135,
10617742008,Unknown Stop,27.6974438,85.3815714,
10685761805,Teaching Hospital,27.7351123,85.3313234,
10736560774,Balkhu,27.684259,85.297446,
10814739406,Unknown Stop,27.7260707,85.3031511,
10845963453,Unknown Stop,27.7121805,85.4251771,
10945732625,Mitrapark,27.7132392,85.3454588,
11021710172,Budhanilkantha Bus Station,27.7783653,85.3604436,
11072488905,Unknown Stop,27.6888871,85.3602385,
11158532306,Unknown Stop,27.6849089,85.2965394,
11178669937,Unknown Stop,27.7563358,85.3170357,
11247609539,Riddhi Siddi Bus Stop,27.7106802,85.4167745,
11358550969,Unknown Stop,27.7417195,85.4031672,
11962110670,Tinchuli,27.7270375,85.3685497,
11962120769,Ramhiti,27.7259504,85.3628892,
11962120770,Mahankal,27.7242827,85.3568315,
11962125369,Pani Tankey,27.7221892,85.3539447,
12832655801,Sauraha Tourist Bus,27.7186881,85.3085466,
12846647143,"Bus To The East, Mechinagar",27.6765844,85.346513,
12901879540,Unknown Stop,27.7345467,85.3309026,
12950870584,Unknown Stop,27.6247093,85.3044329,
12993759258,Tilganga,27.7061894,85.3501477,
13001454059,Arubari,27.7311136,85.3755447,
13018634887,Unknown Stop,27.7004488,85.2059613,
13040382166,Boudha,27.7204977,85.3604163,
